Source,Target
spoon,European Sculpture and Decorative Arts
ensemble,Costume Institute
kylix fragment,Greek and Roman Art
illustrated book,Asian Art
snuff bottle,Asian Art
mask,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
book,Drawings and Prints
cocktail dress,Costume Institute
woodblock print,Asian Art
print ornament & architecture,Drawings and Prints
souvenir spoon,European Sculpture and Decorative Arts
fan,Costume Institute
necklace,Modern and Contemporary Art
cap,Costume Institute
stele,Asian Art
print,Drawings and Prints
print,Drawings and Prints
game piece,Egyptian Art
drawing,Drawings and Prints
dress,Costume Institute
vase,The American Wing
book,Drawings and Prints
box with cover,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
mold,Egyptian Art
tea jar,Asian Art
photograph,Photographs
book,Drawings and Prints
bathing suit,Costume Institute
sconce,European Sculpture and Decorative Arts
photograph,Photographs
comb,Costume Institute
drawing,Modern and Contemporary Art
bust,European Sculpture and Decorative Arts
book print ornament & architecture,Drawings and Prints
print,Drawings and Prints
piece,Asian Art
whistle,Musical Instruments
print,Drawings and Prints
fan,European Sculpture and Decorative Arts
photograph,Photographs
jug,European Sculpture and Decorative Arts
carte-de-visite,Photographs
bowl,Islamic Art
pendant in the form of a vase,Greek and Roman Art
book,Drawings and Prints
book,Drawings and Prints
ornament & architecture,Drawings and Prints
demitasse cup and saucer,The American Wing
handkerchief,European Sculpture and Decorative Arts
mwembo,Musical Instruments
amulet,Egyptian Art
print,Drawings and Prints
ephemera,Drawings and Prints
spoon,The American Wing
magic knife fragments (),Egyptian Art
drop-front desk on chest,European Sculpture and Decorative Arts
statuette of a woman,Greek and Roman Art
photograph,Modern and Contemporary Art
print,Drawings and Prints
plate,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
painting,European Paintings
cup and saucer,Asian Art
flask,The American Wing
folio,Asian Art
necktie,Costume Institute
pair of sword-grip ornaments (menuki),Arms and Armor
basketry,Egyptian Art
photograph,Drawings and Prints
mosaic block inlay,Greek and Roman Art
print,Drawings and Prints
baseball card,Drawings and Prints
photograph,Drawings and Prints
album,Photographs
embroidery hoop support,European Sculpture and Decorative Arts
pendant,"Arts of Africa, Oceania, and the Americas"
photograph,Photographs
drawing,Drawings and Prints
playing card,Islamic Art
piece,Asian Art
bead spreader,Ancient Near Eastern Art
snuffbox,European Sculpture and Decorative Arts
books prints ornament & architecture,Drawings and Prints
bowl,European Sculpture and Decorative Arts
print,Drawings and Prints
ephemera,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
juglet,Greek and Roman Art
negative,Photographs
saucer,European Sculpture and Decorative Arts
bowl,Islamic Art
photograph,Photographs
photograph,Photographs
photograph,Drawings and Prints
model adze,Egyptian Art
book,Drawings and Prints
print,Drawings and Prints
drawing,Robert Lehman Collection
fixed fan,Costume Institute
photograph,Photographs
negative,Photographs
fragment,Asian Art
print,Drawings and Prints
seal,European Sculpture and Decorative Arts
amulet,Egyptian Art
slip,Costume Institute
polaroid,Photographs
relief fragment,Egyptian Art
fragment of a bowl,Islamic Art
cocktail dress,Costume Institute
baseball card,Drawings and Prints
print,Asian Art
print,Drawings and Prints
relief,Ancient Near Eastern Art
uniform,Costume Institute
fringe,European Sculpture and Decorative Arts
print,Drawings and Prints
painting,European Paintings
slip,Costume Institute
maul perhaps from destruction of tomb,Egyptian Art
kylix fragments,Greek and Roman Art
print,Drawings and Prints
fragment,European Sculpture and Decorative Arts
unite coin,European Sculpture and Decorative Arts
baseball card,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
print,Drawings and Prints
drawing collection ornament & architecture,Drawings and Prints
rank badge,Asian Art
scarab,Egyptian Art
carte-de-visite,Photographs
print,Drawings and Prints
print,Drawings and Prints
print,Asian Art
drawing,Drawings and Prints
sliding box,Modern and Contemporary Art
robe,Asian Art
drawing,Drawings and Prints
knife handle (kozuka),Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
stirrup jar,Greek and Roman Art
undersleeves,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
breast plates and back plates (nio-dō),Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
postcard,Photographs
pharmacy bottle,European Sculpture and Decorative Arts
tassel,European Sculpture and Decorative Arts
ornament,Ancient Near Eastern Art
token money,European Sculpture and Decorative Arts
sword guard (tsuba),Arms and Armor
print,Drawings and Prints
drawing,Drawings and Prints
fragment,Asian Art
sculpture,Ancient Near Eastern Art
kylix fragment,Greek and Roman Art
sickle,Egyptian Art
wine glass,The American Wing
print,Asian Art
statuette of a draped woman,Greek and Roman Art
jar label,Egyptian Art
print,Drawings and Prints
counter,Islamic Art
fragment,Islamic Art
print ornament & architecture,Drawings and Prints
veil,Costume Institute
carte-de-visite,Photographs
pitcher,European Sculpture and Decorative Arts
cuneiform tablet,Ancient Near Eastern Art
saucer,Islamic Art
textile fragment,Islamic Art
vessel,Islamic Art
fragment,Islamic Art
print,Drawings and Prints
square,Asian Art
piece,Asian Art
print,Drawings and Prints
ring,Costume Institute
drawing,Drawings and Prints
drawing,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
print collection ornament & architecture,Drawings and Prints
bead,Egyptian Art
tazza,European Sculpture and Decorative Arts
piece,Asian Art
wheellock pistol,Arms and Armor
necklace,Costume Institute
print,Drawings and Prints
kylix fragment,Greek and Roman Art
print,Drawings and Prints
inkwell,The American Wing
dress,Costume Institute
print,Drawings and Prints
powder charger case,Arms and Armor
purse,Costume Institute
two harness ornaments,Asian Art
piece,European Sculpture and Decorative Arts
drawing ornament & architecture,Drawings and Prints
crèche figure,European Sculpture and Decorative Arts
inrō,Asian Art
print,Drawings and Prints
print ornament & architecture,Drawings and Prints
print,Drawings and Prints
jewelry set,Asian Art
cosmetic container (?),Ancient Near Eastern Art
cup,Asian Art
sealing,Egyptian Art
baseball card,Drawings and Prints
colonnette,Medieval Art
print,Drawings and Prints
sampler,European Sculpture and Decorative Arts
print,Drawings and Prints
block,Drawings and Prints
drop-leaf table,The American Wing
drawing,Modern and Contemporary Art
fedora,Costume Institute
photograph,Photographs
print,Drawings and Prints
horse tack ornament,Arms and Armor
urn,Asian Art
books,Photographs
textile,Medieval Art
archway section,Asian Art
print,Drawings and Prints
print,Drawings and Prints
piece,Asian Art
photograph,Photographs
evening dress,Costume Institute
books prints ornament & architecture,Drawings and Prints
horn,Musical Instruments
bowl,Ancient Near Eastern Art
print,Drawings and Prints
print,Modern and Contemporary Art
seal,Egyptian Art
mask,"Arts of Africa, Oceania, and the Americas"
photograph,Drawings and Prints
book,Drawings and Prints
neck-amphora,Greek and Roman Art
tea service: plate,Modern and Contemporary Art
beaker,The Cloisters
print,Drawings and Prints
album,Drawings and Prints
panel,Islamic Art
photograph,Drawings and Prints
collar,European Sculpture and Decorative Arts
photograph,Photographs
print,Asian Art
tankard with cover,European Sculpture and Decorative Arts
carafe,The American Wing
prints collection ornament & architecture,Drawings and Prints
print,Drawings and Prints
ornament,"Arts of Africa, Oceania, and the Americas"
drawing ornament & architecture,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
bowl,Greek and Roman Art
sample book,European Sculpture and Decorative Arts
sampler,European Sculpture and Decorative Arts
print,Drawings and Prints
vessel,Ancient Near Eastern Art
drawing,Drawings and Prints
medal,European Sculpture and Decorative Arts
amulet,Egyptian Art
print,Drawings and Prints
stamp seal,Ancient Near Eastern Art
drawing,Modern and Contemporary Art
print,Drawings and Prints
relief,The Cloisters
side chair,The American Wing
sword-hilt collar and pommel (fuchigashira),Arms and Armor
print,Drawings and Prints
saucer,Modern and Contemporary Art
sistrum,Egyptian Art
photograph,Photographs
print,Drawings and Prints
negative,Photographs
hanging scroll,Asian Art
print,Drawings and Prints
textile sample,Modern and Contemporary Art
print,Drawings and Prints
baseball,Drawings and Prints
pillbox hat,Costume Institute
bread knife,European Sculpture and Decorative Arts
umbrella,Costume Institute
drawing,Drawings and Prints
print,Drawings and Prints
sitar,Musical Instruments
vamplate (hand guard for a lance),Arms and Armor
doctor's sword (<i>chatō</i>),Arms and Armor
robe,Asian Art
drum,"Arts of Africa, Oceania, and the Americas"
baseball card,Drawings and Prints
print,Drawings and Prints
carte-de-visite,Photographs
print,Drawings and Prints
plate,Asian Art
necklace,Costume Institute
drawing,Drawings and Prints
drawing,Drawings and Prints
trousers,Costume Institute
photobooth strip,Photographs
print,Drawings and Prints
portfolio,Drawings and Prints
photograph,Photographs
print collection ornament & architecture,Drawings and Prints
sword (dha) with scabbard,Arms and Armor
book,Drawings and Prints
bowl fragment,Egyptian Art
painting,European Paintings
print,Drawings and Prints
photograph,Photographs
mace,Arms and Armor
tunic,Islamic Art
print,Drawings and Prints
print,Drawings and Prints
fork,Modern and Contemporary Art
print,Drawings and Prints
print,Drawings and Prints
plate,European Sculpture and Decorative Arts
dress,Costume Institute
crozier head,Medieval Art
photograph,Photographs
parasol,Costume Institute
purse,Costume Institute
jar,Asian Art
panel,Asian Art
book,Drawings and Prints
stela,Egyptian Art
negative,Photographs
fragment of a bowl,Islamic Art
textile fragment,Islamic Art
skyphos fragment,Greek and Roman Art
axe,Ancient Near Eastern Art
trivet,The American Wing
print,Drawings and Prints
print,Drawings and Prints
piece,Asian Art
plaquette,Robert Lehman Collection
knife handle (kozuka),Arms and Armor
photograph,Drawings and Prints
fragment,Medieval Art
print,Drawings and Prints
print,Drawings and Prints
suit,Costume Institute
drawing,Robert Lehman Collection
photograph,Photographs
shoes,Costume Institute
fringe,European Sculpture and Decorative Arts
armchair,Robert Lehman Collection
print,Drawings and Prints
stole,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
table,European Sculpture and Decorative Arts
sword,Arms and Armor
baseball card,Drawings and Prints
photograph,Photographs
door panel,European Sculpture and Decorative Arts
sealing,Egyptian Art
scarab,Egyptian Art
book,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
poster,Drawings and Prints
bottle,"Arts of Africa, Oceania, and the Americas"
photograph,Drawings and Prints
horse blinker,Ancient Near Eastern Art
illustrated books,Asian Art
piece,Asian Art
alabastron,Greek and Roman Art
photograph,Photographs
whistle,Musical Instruments
drawing,Robert Lehman Collection
evening ensemble,Costume Institute
print,Drawings and Prints
offering tray (talam),Asian Art
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
seal-amulet,Egyptian Art
vase with cover,Asian Art
kylix fragment,Greek and Roman Art
print,Drawings and Prints
kylix fragments,Greek and Roman Art
sandals,Costume Institute
drawings,Drawings and Prints
ornament & architecture,Drawings and Prints
stereograph,Photographs
sleeve band,Asian Art
textile fragment,Islamic Art
album,Drawings and Prints
photograph,Drawings and Prints
covered lime pot,Asian Art
book,Drawings and Prints
ensemble,Costume Institute
book,Drawings and Prints
stencil,Asian Art
ball,Asian Art
print,Drawings and Prints
print,Drawings and Prints
medal,European Sculpture and Decorative Arts
watercolor,The American Wing
currency,"Arts of Africa, Oceania, and the Americas"
pinafore,Costume Institute
engraving,Arms and Armor
piece,Asian Art
print,Drawings and Prints
drawing,Modern and Contemporary Art
roundel,The Cloisters
bottle,Asian Art
cocktail dress,Costume Institute
figures,Asian Art
plaque,Medieval Art
photographically illustrated book,Photographs
photograph,Photographs
print,Drawings and Prints
border,European Sculpture and Decorative Arts
photograph,Photographs
oinochoe,Greek and Roman Art
painting,Modern and Contemporary Art
side chair,The American Wing
photograph,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
piece,European Sculpture and Decorative Arts
print,Drawings and Prints
cuff,European Sculpture and Decorative Arts
coffin,Egyptian Art
print,Drawings and Prints
helmet,Arms and Armor
pair of ear ornaments,Asian Art
print,Drawings and Prints
sampler,European Sculpture and Decorative Arts
sword guard (tsuba),Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
bowl,Asian Art
flügelhorn in b-flat,Musical Instruments
oinochoe,Greek and Roman Art
mirror,Greek and Roman Art
print,Drawings and Prints
armchair,Robert Lehman Collection
drawing,Drawings and Prints
polaroid,Photographs
shabti,Egyptian Art
cone,Egyptian Art
jar,Medieval Art
ring,The American Wing
photograph,Photographs
sculpture,Modern and Contemporary Art
print,Drawings and Prints
print,Drawings and Prints
drawing,The American Wing
trousers,Costume Institute
sword guard (tsuba),Arms and Armor
relief fragment,Egyptian Art
bead,Asian Art
book,Drawings and Prints
ornament & architecture,Drawings and Prints
"print
periodical",Drawings and Prints
cone,Egyptian Art
bottle,Asian Art
polaroid,Photographs
capital,The Cloisters
baseball card,Drawings and Prints
album,Photographs
coin,Islamic Art
nail,The Cloisters
mold,Egyptian Art
drawing,The American Wing
bead,Egyptian Art
print,Drawings and Prints
"book
ornament & architecture
print",Drawings and Prints
photograph,Photographs
print,Drawings and Prints
rubbing,Asian Art
print,Drawings and Prints
print,Drawings and Prints
robe,Asian Art
kylix fragment,Greek and Roman Art
boots,Costume Institute
book,Drawings and Prints
negative,Photographs
negative,Photographs
chess set,European Sculpture and Decorative Arts
print,Asian Art
drawing,Drawings and Prints
robe,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
baseball card,Drawings and Prints
print,Drawings and Prints
facsimile,Egyptian Art
cone,Egyptian Art
piece,European Sculpture and Decorative Arts
books prints ornament & architecture,Drawings and Prints
shawl,Costume Institute
panel,The Cloisters
shabti,Egyptian Art
chessmen and box-board,European Sculpture and Decorative Arts
drawing,Drawings and Prints
knife fragment,"Arts of Africa, Oceania, and the Americas"
football card,Drawings and Prints
kylix fragment,Greek and Roman Art
woodblock print,Asian Art
print,Drawings and Prints
mugshot,Photographs
baseball card,Drawings and Prints
photograph,Photographs
drawing,Modern and Contemporary Art
tile,European Sculpture and Decorative Arts
sickle,Egyptian Art
drawing,Drawings and Prints
print,Modern and Contemporary Art
crystallophone,Musical Instruments
print,Drawings and Prints
border,European Sculpture and Decorative Arts
covered box,Asian Art
woodblock print,Asian Art
dress,Costume Institute
drawing,Drawings and Prints
drawing,Modern and Contemporary Art
carte-de-visite,Photographs
negative,Photographs
print,Drawings and Prints
stereograph,Photographs
spoon,The American Wing
sampler,European Sculpture and Decorative Arts
drawing,Drawings and Prints
cut paper,Drawings and Prints
photograph,Drawings and Prints
physharmonika,Musical Instruments
shawl,Islamic Art
fragment,Islamic Art
print,Drawings and Prints
sutra cover,Asian Art
negative,Photographs
drawing,Drawings and Prints
purse,Costume Institute
collage,Photographs
photographs,Photographs
drawing,Drawings and Prints
dish,Asian Art
tile panel,Islamic Art
panorama,Photographs
nail,Egyptian Art
postcard,Photographs
negative,Photographs
print,Drawings and Prints
fragment,Arms and Armor
painting,The American Wing
ornament,"Arts of Africa, Oceania, and the Americas"
neck-amphorae fragments,Greek and Roman Art
neck-amphora with lid,Greek and Roman Art
chalice,The American Wing
piece,European Sculpture and Decorative Arts
ring,Greek and Roman Art
photographs,Photographs
print,Drawings and Prints
scarab,Egyptian Art
painting,European Paintings
baseball card,Drawings and Prints
photograph,Photographs
evening dress,Costume Institute
painting,Robert Lehman Collection
shabti,Egyptian Art
relief,Egyptian Art
dress,Costume Institute
scarab,Egyptian Art
tobacco jar,The American Wing
photograph,Photographs
medal,European Sculpture and Decorative Arts
print,Asian Art
figure,Asian Art
figure,Egyptian Art
bead,Islamic Art
epinette des vosges,Musical Instruments
drawing,Drawings and Prints
cup,Asian Art
print,Drawings and Prints
snuff bottle with stopper,Asian Art
dagger-ax,Asian Art
scarab,Egyptian Art
folding fan mounted as an album leaf,Asian Art
evening dress,Costume Institute
piece,Asian Art
carte-de-visite,Photographs
panel,European Sculpture and Decorative Arts
print ornament & architecture,Drawings and Prints
tongs,The American Wing
photograph,Photographs
print,Drawings and Prints
print,Drawings and Prints
painting,The American Wing
mirror,Asian Art
vest,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
tile,Islamic Art
cut paper,Drawings and Prints
drawing,Drawings and Prints
ring,Costume Institute
kohl tube,Egyptian Art
photograph,Photographs
funerary cone,Egyptian Art
teacup and saucer,The American Wing
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
knife handle (kozuka),Arms and Armor
piece,European Sculpture and Decorative Arts
handle of a jug,Greek and Roman Art
conch shell trumpet (davui),Musical Instruments
photograph,Photographs
print,Drawings and Prints
textile sample,Modern and Contemporary Art
drawing,Drawings and Prints
cup,Asian Art
book,Drawings and Prints
sword guard (tsuba),Arms and Armor
print,Drawings and Prints
print,Drawings and Prints
baseball card,Drawings and Prints
print,Drawings and Prints
phiale with rosette on the bottom,Greek and Roman Art
quilt top,The American Wing
dress,Costume Institute
pendant,Egyptian Art
ensemble,Costume Institute
kylix fragment,Greek and Roman Art
medal,The American Wing
drawing,Drawings and Prints
obol,Greek and Roman Art
print,Drawings and Prints
conch shell trumpet,Musical Instruments
print,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
drawing,Drawings and Prints
baseball card,Drawings and Prints
print,Drawings and Prints
sculpture,Modern and Contemporary Art
cylinder seal,Egyptian Art
print,Drawings and Prints
jar,Egyptian Art
print,Drawings and Prints
facsimile,Drawings and Prints
jew's harp,Musical Instruments
rubbing,Drawings and Prints
books prints ornament & architecture,Drawings and Prints
pin,Greek and Roman Art
postcard,Photographs
pitch pipe,Musical Instruments
drawing,Drawings and Prints
kylix fragment,Greek and Roman Art
painting,The American Wing
kylix fragment,Greek and Roman Art
photograph,Photographs
soba cup,Asian Art
negative,Photographs
bracelet,Islamic Art
poignard,Arms and Armor
pumps,Costume Institute
painting fragment,European Paintings
drawing,Drawings and Prints
photograph,Drawings and Prints
weight,Egyptian Art
print,Drawings and Prints
print,Drawings and Prints
plate,European Sculpture and Decorative Arts
print,Drawings and Prints
petticoat,Costume Institute
book,Drawings and Prints
earring with acorn pendant,Greek and Roman Art
hat,Costume Institute
salver,European Sculpture and Decorative Arts
book,Drawings and Prints
ornament & architecture,Drawings and Prints
bark painting,"Arts of Africa, Oceania, and the Americas"
bow tie,Costume Institute
baseball card,Drawings and Prints
photograph,Photographs
broad collar pendants,Egyptian Art
miniature dress,"Arts of Africa, Oceania, and the Americas"
galloon,European Sculpture and Decorative Arts
vamplate,Arms and Armor
drawing,The American Wing
evening dress,Costume Institute
photograph,Photographs
negative,Photographs
inrō,Asian Art
print,Drawings and Prints
wineglass,Robert Lehman Collection
print,Drawings and Prints
upholstery panel,European Sculpture and Decorative Arts
panel,Asian Art
cream pot,The American Wing
ensemble,Costume Institute
print,Drawings and Prints
book,Drawings and Prints
saltcellar,European Sculpture and Decorative Arts
negative,Photographs
print,Drawings and Prints
book ornament & architecture,Drawings and Prints
print,Drawings and Prints
knife box,The American Wing
bowl,Greek and Roman Art
chous fragments?,Greek and Roman Art
rapier,Arms and Armor
print,Drawings and Prints
photograph,Drawings and Prints
drawing,Drawings and Prints
umbrella,Costume Institute
print,Drawings and Prints
reliquary,Asian Art
album drawings ornament & architecture,Drawings and Prints
daguerreotype,Photographs
button,Costume Institute
piece,European Sculpture and Decorative Arts
photograph,Photographs
beatus,The Cloisters
manuscript leaf,The Cloisters
ensemble,Costume Institute
drawing,Drawings and Prints
book,Drawings and Prints
print,Drawings and Prints
intaglio,Greek and Roman Art
print,Drawings and Prints
book,Drawings and Prints
panel,Asian Art
wall revetment fragment,Egyptian Art
chariot fragments,Greek and Roman Art
suit,Costume Institute
plate,European Sculpture and Decorative Arts
drawing,Modern and Contemporary Art
snuff bottle,Asian Art
snuffbox,European Sculpture and Decorative Arts
necklace,Costume Institute
candlestick perfume bottle,Greek and Roman Art
drawing,Drawings and Prints
pair of greaves (sunē-atē),Arms and Armor
soba cup,Asian Art
fringe,European Sculpture and Decorative Arts
carte-de-visite,Photographs
drawing,Modern and Contemporary Art
print,Drawings and Prints
photograph,Photographs
stela,Egyptian Art
orphrey,European Sculpture and Decorative Arts
drawing,Drawings and Prints
print,Drawings and Prints
screen,Islamic Art
kris with sheath,Arms and Armor
head of an elderly man,Greek and Roman Art
bottle,"Arts of Africa, Oceania, and the Americas"
photograph,Photographs
buckle,Arms and Armor
print,Drawings and Prints
one of a pair of lamps,Asian Art
mi-gyaung,Musical Instruments
spoon,The Cloisters
drawing,Robert Lehman Collection
postcard,Photographs
tongs,The American Wing
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
skirt,Asian Art
statuette group,European Sculpture and Decorative Arts
print,Drawings and Prints
aryballos,Greek and Roman Art
photograph,Photographs
drawing,Drawings and Prints
print,Drawings and Prints
oxfords,Costume Institute
print,Drawings and Prints
mourning hat,Costume Institute
print,Drawings and Prints
screens,Asian Art
amulet,Egyptian Art
photomechanical print,Photographs
snuff bottle,Asian Art
figure,"Arts of Africa, Oceania, and the Americas"
container with lid,Asian Art
teapot with cover,European Sculpture and Decorative Arts
fan,Costume Institute
baseball card,Drawings and Prints
bodice,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
flagon,European Sculpture and Decorative Arts
print,Drawings and Prints
slippers,Costume Institute
print,Drawings and Prints
vase (bottom),Robert Lehman Collection
mug,Greek and Roman Art
nose ornament,"Arts of Africa, Oceania, and the Americas"
book,Drawings and Prints
negative,Photographs
book,Drawings and Prints
custard cup,The American Wing
fire tongs,The American Wing
portrait bust of a man,Greek and Roman Art
pendant,The American Wing
border,European Sculpture and Decorative Arts
water vessel,European Sculpture and Decorative Arts
naval dirk,Arms and Armor
photograph,Drawings and Prints
trade card,Drawings and Prints
piece,Asian Art
photograph,Photographs
cone,Egyptian Art
handkerchief,Costume Institute
piece,European Sculpture and Decorative Arts
photograph,Drawings and Prints
book print ornament & architecture,Drawings and Prints
print,Drawings and Prints
whistle,"Arts of Africa, Oceania, and the Americas"
trousers,Costume Institute
salts,European Sculpture and Decorative Arts
head,"Arts of Africa, Oceania, and the Americas"
photograph,Photographs
piece,European Sculpture and Decorative Arts
photograph,Photographs
drawing,"Arts of Africa, Oceania, and the Americas"
beatus,The Cloisters
manuscript leaf,The Cloisters
necklace,Costume Institute
fragment,Medieval Art
shoe buckles,Costume Institute
book,Drawings and Prints
book,Drawings and Prints
ornament & architecture,Drawings and Prints
bust,The American Wing
print,Drawings and Prints
print,Drawings and Prints
netsuke,Asian Art
print,Drawings and Prints
sword guard (tsuba),Arms and Armor
water jar,Asian Art
sovereign,European Sculpture and Decorative Arts
cap,Costume Institute
photograph,Photographs
painting,The American Wing
boxing,Drawings and Prints
print,The American Wing
print,Drawings and Prints
collage,Modern and Contemporary Art
book,Drawings and Prints
ornament & architecture,Drawings and Prints
photograph,Photographs
fragment,Islamic Art
kylix fragment,Greek and Roman Art
fragment,European Sculpture and Decorative Arts
ensemble,Costume Institute
necktie,Costume Institute
piece,Asian Art
necklace,Costume Institute
print,Drawings and Prints
pocket knife,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
jar,Egyptian Art
book print ornament & architecture,Drawings and Prints
shoes,Costume Institute
drawing collection ornament & architecture,Drawings and Prints
print,Drawings and Prints
dish,Islamic Art
kylix fragment,Greek and Roman Art
photograph,Photographs
photograph,Drawings and Prints
print,Drawings and Prints
belt,Islamic Art
folio from a non-illustrated manuscript,Islamic Art
print,Drawings and Prints
juglet,Greek and Roman Art
figure,European Sculpture and Decorative Arts
postcard,Photographs
print,Drawings and Prints
stencil,Asian Art
photograph,Drawings and Prints
statuette of a warrior-,Greek and Roman Art
drawing,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
ornament & architecture,Drawings and Prints
print,Drawings and Prints
netsuke,Asian Art
print,Drawings and Prints
print,Drawings and Prints
painting,Modern and Contemporary Art
vase fragment,Greek and Roman Art
jewelry set,Costume Institute
book,Drawings and Prints
piece,Asian Art
evening dress,Costume Institute
pocket flask,The American Wing
print,Drawings and Prints
saucer,European Sculpture and Decorative Arts
cuneiform tablet,Ancient Near Eastern Art
sword guard (tsuba),Arms and Armor
tamboura,Musical Instruments
print,Drawings and Prints
textile fragment,"Arts of Africa, Oceania, and the Americas"
negative,Photographs
souvenir spoon,European Sculpture and Decorative Arts
print,Drawings and Prints
print,Drawings and Prints
drawing,Drawings and Prints
photograph,Drawings and Prints
pendant,Greek and Roman Art
cabinet card,Photographs
vase,The American Wing
tumbler,The American Wing
figure,European Sculpture and Decorative Arts
beaker,European Sculpture and Decorative Arts
perfume bottle,Greek and Roman Art
medallion,European Sculpture and Decorative Arts
piece,European Sculpture and Decorative Arts
figure,Asian Art
figure,Asian Art
print,Drawings and Prints
armor,Arms and Armor
pendant,Greek and Roman Art
painting,European Paintings
drawing,Drawings and Prints
textile sample,Modern and Contemporary Art
fragment,Medieval Art
drawing,Modern and Contemporary Art
photograph,Photographs
print,Drawings and Prints
whale oil lamp,The American Wing
frame,Robert Lehman Collection
undetermined closed shapes,Greek and Roman Art
cap,Costume Institute
evening shoes,Costume Institute
baseball card,Drawings and Prints
tweezers,Egyptian Art
folio,Asian Art
celt,"Arts of Africa, Oceania, and the Americas"
wig,Costume Institute
print,Drawings and Prints
print,Drawings and Prints
photograph,Photographs
print,Drawings and Prints
drawing,The American Wing
kohl stick,Egyptian Art
cup,Greek and Roman Art
coffeepot,European Sculpture and Decorative Arts
netsuke,Asian Art
drawing,Drawings and Prints
medal,The American Wing
print ornament & architecture,Drawings and Prints
print,Drawings and Prints
book,Drawings and Prints
painting,European Paintings
tunic,Costume Institute
print,Drawings and Prints
mantle,Costume Institute
print,Drawings and Prints
textile fragment,Islamic Art
strip,European Sculpture and Decorative Arts
beachwear,Costume Institute
book,Drawings and Prints
platter,The American Wing
negative,Photographs
medal,European Sculpture and Decorative Arts
painting,European Paintings
photograph,Drawings and Prints
print,Drawings and Prints
print,Drawings and Prints
baseball card,Drawings and Prints
painting,Robert Lehman Collection
sword guard (tsuba),Arms and Armor
print,Drawings and Prints
photograph,Drawings and Prints
book,Drawings and Prints
jardiniere,The American Wing
print,Drawings and Prints
ephemera,Drawings and Prints
necklace,Costume Institute
print,Drawings and Prints
vase,Islamic Art
print,Asian Art
drawing,Drawings and Prints
headscarf,Islamic Art
photograph,Photographs
tankard,The American Wing
water pot,Asian Art
earrings with erotes riding birds,Greek and Roman Art
billion tetradrachm,Greek and Roman Art
print,Drawings and Prints
negative,Photographs
books,Photographs
candelabrum,Greek and Roman Art
medal,European Sculpture and Decorative Arts
print ornament & architecture,Drawings and Prints
kohl pot,Egyptian Art
rapier,Arms and Armor
capital,Islamic Art
painting,Modern and Contemporary Art
print,Drawings and Prints
stereographs,Photographs
book,Drawings and Prints
drawing,Drawings and Prints
print,Asian Art
bow tie,Costume Institute
bust,The American Wing
print,Asian Art
relief fragment,Egyptian Art
rose bowl,The American Wing
negative,Photographs
whale oil lamp,The American Wing
fragment,Islamic Art
print ornament & architecture,Drawings and Prints
oinochoe fragment?,Greek and Roman Art
panel,European Sculpture and Decorative Arts
clock model,European Sculpture and Decorative Arts
print,Drawings and Prints
baseball card,Drawings and Prints
mask,"Arts of Africa, Oceania, and the Americas"
book,Drawings and Prints
evening dress,Costume Institute
necktie,Costume Institute
trade card,Drawings and Prints
shoes,Costume Institute
fragment,Islamic Art
print,Drawings and Prints
spindle,"Arts of Africa, Oceania, and the Americas"
print,Drawings and Prints
print,Drawings and Prints
painting,European Paintings
spontoon,Arms and Armor
print,Asian Art
print,Drawings and Prints
photograph,Drawings and Prints
panel,The Cloisters
ewer,European Sculpture and Decorative Arts
photograph,Photographs
drawing,Modern and Contemporary Art
print,Drawings and Prints
print,Drawings and Prints
fan,Costume Institute
bathing suit,Costume Institute
bowl,Greek and Roman Art
painting,Modern and Contemporary Art
kylix fragment,Greek and Roman Art
print,Drawings and Prints
